amount,frequency,location_change,device_change,hour_of_day,is_fraud
763.48,3,1,0,15,0
19.35,3,1,0,18,0
38.5,1,1,0,8,0
54.69,3,0,0,14,0
159.87,2,0,0,9,0
21.63,3,0,0,16,0
69.1,0,0,0,11,0
63.4,2,0,0,11,0
108.12,2,0,0,22,0
51.65,2,1,0,17,0
315.92,7,0,0,20,0
86.58,1,0,0,21,0
16.45,4,1,0,19,0
168.72,2,0,0,20,0
78.31,2,0,0,12,0
22.4,2,0,0,10,0
102.8,2,1,0,15,0
5000.0,15,1,0,1,1
81.37,3,0,0,9,0
84.43,2,1,0,21,0
5000.0,10,1,1,5,1
137.23,3,0,0,16,0
123.22,4,0,0,16,0
199.38,2,0,0,20,0
14.37,2,0,0,9,0
5000.0,19,1,0,3,1
104.09,2,0,0,16,0
208.22,2,0,0,17,0
44.0,4,0,0,20,0
61.65,4,0,0,21,0
99.0,3,0,0,19,0
60.06,2,0,0,13,0
192.77,3,0,0,22,0
84.31,9,0,0,12,0
57.77,1,0,0,21,0
47.04,1,0,0,9,0
254.76,4,0,0,20,0
136.71,5,0,0,9,0
59.54,2,0,0,8,0
11.38,2,0,0,8,0
87.27,1,0,0,13,0
16.11,3,1,0,9,0
14.53,3,0,0,19,0
8.44,2,0,0,19,0
20.14,4,0,0,10,0
66.48,6,0,0,18,0
41.28,2,0,0,18,0
14.34,3,0,0,11,0
281.45,1,0,0,13,0
401.68,4,0,1,10,0
9.15,2,0,0,10,0
20.0,2,0,0,17,0
96.23,6,1,0,16,0
21.19,5,0,0,15,0
85.93,9,0,0,13,0
243.58,3,0,0,18,0
44.41,3,0,0,18,0
13130.31,14,1,0,0,1
84.18,2,0,0,10,0
52.31,4,0,0,12,0
94.64,1,0,0,13,0
152.97,3,0,0,20,0
22.3,3,0,0,10,0
65.01,3,0,0,19,0
14.7,3,0,0,16,0
102.74,1,1,0,19,0
46.95,2,0,0,14,0
7856.73,22,1,0,0,1
37.96,1,0,0,13,0
21.4,1,0,0,18,0
67.38,3,0,0,21,0
56.25,2,0,0,9,0
40.55,4,0,0,19,0
90.76,1,0,0,19,0
67.67,3,0,0,19,0
116.4,1,0,0,22,0
27.63,1,0,0,18,0
21.64,3,0,0,8,0
81.93,6,0,0,12,0
57.97,6,0,0,15,0
9.54,4,1,0,10,0
15.62,3,0,0,16,0
41.48,0,0,0,20,0
98.63,3,0,1,20,0
186.43,2,0,0,15,0
87.36,5,0,0,13,0
157.81,2,1,0,12,0
88.77,3,0,0,12,0
159.72,1,0,0,10,0
133.13,6,0,0,19,0
12.02,3,0,0,16,0
12.89,1,0,0,15,0
23.61,5,0,0,21,0
53.22,5,0,0,15,0
19.33,2,0,0,16,0
22.53,1,1,0,18,0
273.22,3,1,0,22,0
175.14,1,1,0,22,0
40.01,5,0,0,14,0
295.17,3,0,0,8,0
172.31,1,0,0,17,0
81.3,3,0,0,21,0
37.59,4,0,0,17,0
33.46,4,0,0,13,0
23.32,3,0,0,18,0
19.78,6,1,0,8,0
120.72,6,0,0,20,0
404.41,4,0,0,15,0
55.37,2,1,0,8,0
109.82,3,0,0,22,0
55.31,3,1,0,10,0
12.27,1,0,0,21,0
87.59,3,0,0,10,0
17.41,2,0,0,17,0
22.78,5,0,0,18,0
80.91,3,0,0,17,0
6.9,4,0,0,9,0
27.03,2,0,0,19,0
6.34,7,0,0,21,0
26.98,2,0,0,10,0
30.22,4,0,0,20,0
349.55,2,0,0,8,0
41.66,2,0,0,12,0
144.85,5,0,0,20,0
32.48,4,0,0,11,0
44.78,4,0,0,13,0
36.44,4,0,0,19,0
27.16,2,0,0,10,0
82.84,4,0,0,22,0
45.36,4,0,0,20,0
90.52,0,0,0,20,0
89.23,3,0,0,17,0
71.55,5,0,0,10,0
41.07,5,0,1,15,0
73.49,6,0,0,9,0
80.17,6,0,0,20,0
73.41,4,0,0,19,0
71.38,0,0,0,13,0
26.66,6,0,0,12,0
35.73,4,0,0,9,0
115.81,0,0,0,15,0
24.69,3,0,0,16,0
63.08,3,0,0,15,0
18.96,5,0,0,12,0
10.43,5,0,0,21,0
84.97,0,0,0,21,0
16.6,3,0,0,17,0
34.2,2,0,0,9,0
138.98,1,0,1,22,0
18.43,3,0,0,16,0
126.11,3,0,0,12,0
123.63,2,0,0,17,0
48.24,4,0,0,21,0
106.2,4,0,0,9,0
112.63,2,0,0,12,0
17.71,4,0,0,22,0
20.52,2,0,0,11,0
348.03,2,0,0,11,0
14.6,1,0,1,22,0
27.49,5,0,0,14,0
40.78,1,0,0,16,0
20.38,3,0,0,20,0
25.14,4,1,0,13,0
87.58,0,0,0,15,0
47.74,1,0,0,8,0
360.03,2,0,0,19,0
9285.76,18,1,1,5,1
17.76,5,0,0,17,0
5.03,4,0,0,8,0
7.61,1,0,0,22,0
27.61,4,0,0,9,0
95.46,2,0,0,13,0
384.95,2,0,0,19,0
108.57,3,1,0,20,0
91.78,2,0,0,22,0
53.47,4,0,0,19,0
109.72,2,0,0,15,0
11.65,1,0,0,19,0
21.42,2,0,0,19,0
90.53,1,0,0,9,0
23.31,6,0,0,20,0
26.93,4,0,0,17,0
29.85,2,0,0,17,0
83.88,3,1,0,20,0
29.91,6,0,0,9,0
100.31,4,1,0,17,0
87.49,1,0,1,21,0
197.63,1,0,0,8,0
120.35,4,0,0,19,0
81.38,3,0,0,14,0
46.1,5,0,0,14,0
32.68,6,0,0,20,0
138.3,3,0,0,19,0
34.81,2,0,0,17,0
27.18,4,0,0,21,0
35.97,3,0,0,20,0
58.91,4,0,0,20,0
29.77,2,0,0,22,0
62.06,2,0,0,9,0
149.83,1,1,0,18,0
23.42,3,0,0,15,0
38.72,3,0,0,15,0
118.47,3,0,0,20,0
98.12,2,0,0,19,0
33.43,2,0,0,13,0
18.51,1,0,0,9,0
41.33,4,0,0,15,0
60.3,3,0,0,19,0
723.12,1,0,0,15,0
163.82,3,0,0,22,0
7.2,4,0,0,19,0
45.85,4,0,0,10,0
116.69,2,1,0,21,0
19211.66,15,1,1,3,1
78.85,1,0,0,11,0
50.26,5,1,0,20,0
16.28,4,0,0,13,0
49.97,2,0,0,22,0
40.84,0,0,0,18,0
76.89,2,0,0,9,0
34.89,3,0,0,16,0
118.3,2,0,0,10,0
34.93,4,0,0,9,0
25.28,4,0,0,14,0
45.27,1,0,0,12,0
5.02,2,0,0,14,0
52.82,5,0,0,19,0
100.4,2,0,0,20,0
529.77,1,0,0,11,0
29.38,3,0,0,8,0
96.52,0,0,0,20,0
257.53,5,0,0,19,0
20.24,4,0,0,15,0
43.66,2,0,0,15,0
